ID;contaminant;consistent_designation;carbon no (for hydrocarbon);sub-category;category
25;Butane;Butanes;C4;Hydrocarbons;VOCs, solvents & hydrocarbons
26;Butane, N-;Butanes;C4;Hydrocarbons;VOCs, solvents & hydrocarbons
27;Butane, i;Butanes;C4;Hydrocarbons;VOCs, solvents & hydrocarbons
28;Butanes;Butanes;C4;Hydrocarbons;VOCs, solvents & hydrocarbons
156;n-butane;Butanes;C4;Hydrocarbons;VOCs, solvents & hydrocarbons
33;CO;Carbon Monoxide;;Carbon Monoxide;Carbon Monoxide
35;Carbon Monoxide;Carbon Monoxide;;Carbon Monoxide;Carbon Monoxide
54;Ethylene (gaseous);Ethylene, gaseous;C2;Hydrocarbons;VOCs, solvents & hydrocarbons
58;Ethylene, gaseous;Ethylene, gaseous;C2;Hydrocarbons;VOCs, solvents & hydrocarbons
61;HEPTANE (OR N-);Heptane (or n-);C7;Hydrocarbons;VOCs, solvents & hydrocarbons
62;Heptane (or n-);Heptane (or n-);C7;Hydrocarbons;VOCs, solvents & hydrocarbons
63;Heptane,-n;Heptane (or n-);C7;Hydrocarbons;VOCs, solvents & hydrocarbons
64;Hexane;Hexanes;C6;Hydrocarbons;VOCs, solvents & hydrocarbons
65;Hexane, 3-methyl-;Hexanes;C6;Hydrocarbons;VOCs, solvents & hydrocarbons
66;Hexane, n;Hexanes;C6;Hydrocarbons;VOCs, solvents & hydrocarbons
67;Hexanes;Hexanes;C6;Hydrocarbons;VOCs, solvents & hydrocarbons
60;H2S;Hydrogen Sulfide;;Hydrogen Sulfide;Other material
72;Hydrogen Sulfide;Hydrogen Sulfide;;Hydrogen Sulfide;Other material
81;Methane;Methane;;Methane;VOCs, solvents & hydrocarbons
92;NATURAL GAS;Methane;;Methane;VOCs, solvents & hydrocarbons
95;Naphtha;Naphthalene;C10;Hydrocarbons;VOCs, solvents & hydrocarbons
96;Naphthalene;Naphthalene;C10;Hydrocarbons;VOCs, solvents & hydrocarbons
93;NOX;NOx;;NOx;NOx
94;NOx (Startup/Shutdown);NOx;;NOx;NOx
97;Nitric oxide;NOx;;NOx;NOx
98;Nitrogen Oxides;NOx;;NOx;NOx
99;Nitrogen Oxides (NOx);NOx;;NOx;NOx
100;Nitrogen dioxide;NOx;;NOx;NOx
101;Nitrogen oxide;NOx;;NOx;NOx
102;Nitrous Oxides;NOx;;NOx;NOx
114;Oxides of Nitrogen (NOx);NOx;;NOx;NOx
105;Octane;Octane;C8;Hydrocarbons;VOCs, solvents & hydrocarbons
